"('[0. 1. 0. 0. 0. 0. 0. 0. 0.]', (0, 0))",0
"('[0. 1. 0. 0. 0. 0. 0. 0. 0.]', (0, 2))",0
"('[0. 1. 0. 0. 0. 0. 0. 0. 0.]', (1, 0))",0
"('[0. 1. 0. 0. 0. 0. 0. 0. 0.]', (1, 1))",0
"('[0. 1. 0. 0. 0. 0. 0. 0. 0.]', (1, 2))",0
"('[0. 1. 0. 0. 0. 0. 0. 0. 0.]', (2, 0))",0
"('[0. 1. 0. 0. 0. 0. 0. 0. 0.]', (2, 1))",0
"('[0. 1. 0. 0. 0. 0. 0. 0. 0.]', (2, 2))",0
"('[0. 0. 0. 0. 0. 0. 0. 0. 0.]', (0, 1))",-0.9999999999999998
"('[-1.  1.  1.  0.  0.  0.  0.  0.  0.]', (1, 0))",0
"('[-1.  1.  1.  0.  0.  0.  0.  0.  0.]', (1, 1))",0
"('[-1.  1.  1.  0.  0.  0.  0.  0.  0.]', (1, 2))",0
"('[-1.  1.  1.  0.  0.  0.  0.  0.  0.]', (2, 0))",0
"('[-1.  1.  1.  0.  0.  0.  0.  0.  0.]', (2, 1))",0
"('[-1.  1.  1.  0.  0.  0.  0.  0.  0.]', (2, 2))",0
"('[-1.  1.  0.  0.  0.  0.  0.  0.  0.]', (0, 2))",-0.931280523264
"('[-1.  1.  1.  0.  1. -1.  0.  0.  0.]', (1, 0))",0
"('[-1.  1.  1.  0.  1. -1.  0.  0.  0.]', (2, 0))",0
"('[-1.  1.  1.  0.  1. -1.  0.  0.  0.]', (2, 1))",0
"('[-1.  1.  1.  0.  1. -1.  0.  0.  0.]', (2, 2))",0
"('[-1.  1.  1.  0.  0. -1.  0.  0.  0.]', (1, 1))",-0.48800000000000004
"('[-1.  1.  1.  0.  1. -1.  1.  0. -1.]', (1, 0))",0
"('[-1.  1.  1.  0.  1. -1.  1.  0. -1.]', (2, 1))",0
"('[-1.  1.  1.  0.  1. -1.  0.  0. -1.]', (2, 0))",0.48800000000000004
"('[-1.  1.  1.  1.  1. -1.  0.  0. -1.]', (2, 0))",0
"('[-1.  1.  1.  1.  1. -1.  0.  0. -1.]', (2, 1))",0
"('[-1.  1.  1.  0.  1. -1.  0.  0. -1.]', (1, 0))",-0.2
"('[-1.  1.  1.  1.  1. -1.  0. -1. -1.]', (2, 0))",-389.60202240000007
"('[ 0.  1.  0.  0.  0. -1.  0.  1.  0.]', (0, 0))",0
"('[ 0.  1.  0.  0.  0. -1.  0.  1.  0.]', (0, 2))",0
